match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR,match_id
West Indies vs Afghanistan,Afghanistan,5,Najibullah Zadran,out,0,2,1,0,0,0.00,T20I # 2703
West Indies vs Afghanistan,Afghanistan,6,Mohammad Nabi,out,1,4,4,0,0,25.00,T20I # 2703
West Indies vs Afghanistan,Afghanistan,7,Karim Janat,out,14,9,14,0,1,155.55,T20I # 2703
West Indies vs Afghanistan,Afghanistan,8,Rashid Khan,out,18,11,18,2,1,163.63,T20I # 2703
West Indies vs Afghanistan,Afghanistan,9,Noor Ahmad,out,2,4,6,0,0,50.00,T20I # 2703
West Indies vs Afghanistan,Afghanistan,10,Naveen-ul-Haq,out,4,6,5,1,0,66.66,T20I # 2703
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Ireland vs Pakistan,Ireland,1,Andy Balbirnie,out,0,3,2,0,0,0.00,T20I # 2697
Ireland vs Pakistan,Ireland,2,Paul Stirling,out,1,2,11,0,0,50.00,T20I # 2697
Ireland vs Pakistan,Ireland,3,Lorcan Tucker,out,2,2,1,0,0,100.00,T20I # 2697
Ireland vs Pakistan,Ireland,4,Harry Tector,out,0,6,15,0,0,0.00,T20I # 2697
Ireland vs Pakistan,Ireland,5,Curtis Campher,out,7,14,26,1,0,50.00,T20I # 2697
Ireland vs Pakistan,Ireland,6,George Dockrell,out,11,10,11,2,0,110.00,T20I # 2697
Ireland vs Pakistan,Ireland,7,Gareth Delany,out,31,19,30,1,3,163.15,T20I # 2697
Ireland vs Pakistan,Ireland,8,Mark Adair,out,15,19,34,2,0,78.94,T20I # 2697
Ireland vs Pakistan,Ireland,9,Barry McCarthy,out,2,7,12,0,0,28.57,T20I # 2697
Ireland vs Pakistan,Ireland,10,Josh Little,not out,22,18,26,2,1,122.22,T20I # 2697
Ireland vs Pakistan,Pakistan,1,Mohammad Rizwan,out,17,16,30,2,0,106.25,T20I # 2697
Ireland vs Pakistan,Pakistan,2,Saim Ayub,out,17,17,19,2,1,100.00,T20I # 2697
Ireland vs Pakistan,Pakistan,3,Babar Azam,not out,32,34,79,2,0,94.11,T20I # 2697
Ireland vs Pakistan,Pakistan,4,Fakhar Zaman,out,5,9,15,0,0,55.55,T20I # 2697
Ireland vs Pakistan,Pakistan,5,Usman Khan,out,2,3,4,0,0,66.66,T20I # 2697
Ireland vs Pakistan,Pakistan,6,Shadab Khan,out,0,2,3,0,0,0.00,T20I # 2697
Ireland vs Pakistan,Pakistan,7,Imad Wasim,out,4,6,5,1,0,66.66,T20I # 2697
Ireland vs Pakistan,Pakistan,8,Abbas Afridi,out,17,21,32,1,1,80.95,T20I # 2697
Ireland vs Pakistan,Pakistan,9,Shaheen Shah Afridi,not out,13,5,23,0,2,260.00,T20I # 2697
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Sri Lanka vs Netherlands,Sri Lanka,1,Pathum Nissanka,out,0,2,2,0,0,0.00,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,2,Kusal Mendis,out,46,29,49,5,0,158.62,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,3,Kamindu Mendis,out,17,20,24,1,1,85.00,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,4,Dhananjaya de Silva,out,34,26,38,3,1,130.76,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,5,Charith Asalanka,out,46,21,31,1,5,219.04,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,6,Angelo Mathews,not out,30,15,27,1,2,200.00,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,7,Dasun Shanaka,out,0,1,1,0,0,0.00,T20I # 2699
Sri Lanka vs Netherlands,Sri Lanka,8,Wanindu Hasaranga,not out,20,6,10,1,2,333.33,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,1,Michael Levitt,out,31,23,25,2,3,134.78,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,2,Max O'Dowd,out,11,8,20,0,1,137.50,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,3,Vikramjit Singh,out,7,10,12,0,0,70.00,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,4,Sybrand Engelbrecht,out,11,9,12,0,1,122.22,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,5,Scott Edwards,out,31,24,40,2,1,129.16,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,6,Bas de Leede,out,3,5,4,0,0,60.00,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,7,Logan van Beek,out,0,1,1,0,0,0.00,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,8,Tim Pringle,out,2,4,7,0,0,50.00,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,9,Aryan Dutt,out,10,8,11,1,0,125.00,T20I # 2699
Sri Lanka vs Netherlands,Netherlands,10,Paul van Meekeren,out,3,8,11,0,0,37.50,T20I # 2699
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Bangladesh vs Nepal,Bangladesh,1,Tanzid Hasan,out,0,1,-,0,0,0.00,T20I # 2698
Bangladesh vs Nepal,Bangladesh,2,Litton Das,out,10,12,-,1,0,83.33,T20I # 2698
Bangladesh vs Nepal,Bangladesh,3,Najmul Hossain Shanto,out,4,5,-,0,0,80.00,T20I # 2698
Bangladesh vs Nepal,Bangladesh,4,Shakib Al Hasan,out,17,22,-,2,0,77.27,T20I # 2698
Bangladesh vs Nepal,Bangladesh,5,Towhid Hridoy,out,9,7,-,2,0,128.57,T20I # 2698
Bangladesh vs Nepal,Bangladesh,6,Mahmudullah,out,13,13,-,2,0,100.00,T20I # 2698
Bangladesh vs Nepal,Bangladesh,7,Jaker Ali,out,12,26,-,0,0,46.15,T20I # 2698
Bangladesh vs Nepal,Bangladesh,8,Tanzim Hasan Sakib,out,3,5,-,0,0,60.00,T20I # 2698
Bangladesh vs Nepal,Bangladesh,9,Rishad Hossain,out,13,7,-,1,1,185.71,T20I # 2698
Bangladesh vs Nepal,Bangladesh,10,Taskin Ahmed,not out,12,15,-,2,0,80.00,T20I # 2698
Bangladesh vs Nepal,Nepal,1,Kushal Bhurtel,out,4,8,11,1,0,50.00,T20I # 2698
Bangladesh vs Nepal,Nepal,2,Aasif Sheikh,out,17,14,29,4,0,121.42,T20I # 2698
Bangladesh vs Nepal,Nepal,3,Anil Sah,out,0,2,2,0,0,0.00,T20I # 2698
Bangladesh vs Nepal,Nepal,4,Rohit Paudel,out,1,6,8,0,0,16.66,T20I # 2698
Bangladesh vs Nepal,Nepal,5,Sundeep Jora,out,1,8,13,0,0,12.50,T20I # 2698
Bangladesh vs Nepal,Nepal,6,Kushal Malla,out,27,40,48,1,1,67.50,T20I # 2698
Bangladesh vs Nepal,Nepal,7,Dipendra Singh Airee,out,25,31,52,2,1,80.64,T20I # 2698
Bangladesh vs Nepal,Nepal,8,Gulsan Jha,out,0,4,5,0,0,0.00,T20I # 2698
Bangladesh vs Nepal,Nepal,9,Sompal Kami,out,0,2,6,0,0,0.00,T20I # 2698
Bangladesh vs Nepal,Nepal,10,Sandeep Lamichhane,not out,0,0,3,0,0,-,T20I # 2698
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Scotland vs Australia,Scotland,1,George Munsey,out,35,23,40,2,3,152.17,T20I # 2689
Scotland vs Australia,Scotland,2,Michael Jones,out,2,3,2,0,0,66.66,T20I # 2689
Scotland vs Australia,Scotland,3,Brandon McMullen,out,60,34,44,2,6,176.47,T20I # 2689
Scotland vs Australia,Scotland,4,Richie Berrington,not out,42,31,48,1,2,135.48,T20I # 2689
Scotland vs Australia,Scotland,5,Matthew Cross,out,18,11,13,1,1,163.63,T20I # 2689
Scotland vs Australia,Scotland,6,Michael Leask,out,5,8,9,0,0,62.50,T20I # 2689
Scotland vs Australia,Scotland,7,Chris Greaves,not out,9,10,15,0,0,90.00,T20I # 2689
Scotland vs Australia,Australia,1,Travis Head,out,68,49,68,5,4,138.77,T20I # 2689
Scotland vs Australia,Australia,2,David Warner,out,1,4,4,0,0,25.00,T20I # 2689
Scotland vs Australia,Australia,3,Mitchell Marsh,out,8,9,17,1,0,88.88,T20I # 2689
Scotland vs Australia,Australia,4,Glenn Maxwell,out,11,8,13,0,1,137.50,T20I # 2689
Scotland vs Australia,Australia,5,Marcus Stoinis,out,59,29,35,9,2,203.44,T20I # 2689
Scotland vs Australia,Australia,6,Tim David,not out,24,14,19,2,1,171.42,T20I # 2689
Scotland vs Australia,Australia,7,Matthew Wade,not out,4,5,13,0,0,80.00,T20I # 2689
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
England vs Namibia,England,1,Phil Salt,out,11,8,11,2,0,137.50,T20I # 2688
England vs Namibia,England,2,Jos Buttler,out,0,4,6,0,0,0.00,T20I # 2688
England vs Namibia,England,3,Jonny Bairstow,out,31,18,27,3,2,172.22,T20I # 2688
England vs Namibia,England,4,Harry Brook,not out,47,20,37,4,2,235.00,T20I # 2688
England vs Namibia,England,5,Moeen Ali,out,16,6,10,0,2,266.66,T20I # 2688
England vs Namibia,England,6,Liam Livingstone,out,13,4,4,0,2,325.00,T20I # 2688
England vs Namibia,Namibia,1,Michael van Lingen,out,33,29,41,1,3,113.79,T20I # 2688
England vs Namibia,Namibia,2,Nikolaas Davin,out,18,16,26,1,1,112.50,T20I # 2688
England vs Namibia,Namibia,3,David Wiese,out,27,12,17,2,2,225.00,T20I # 2688
England vs Namibia,Namibia,4,Gerhard Erasmus,not out,1,3,5,0,0,33.33,T20I # 2688
England vs Namibia,Namibia,5,JJ Smit,not out,0,1,2,0,0,0.00,T20I # 2688
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Uganda vs New Zealand,Uganda,1,Ronak Patel,out,2,20,36,0,0,10.00,T20I # 2682
Uganda vs New Zealand,Uganda,2,Simon Ssesazi,out,0,1,2,0,0,0.00,T20I # 2682
Uganda vs New Zealand,Uganda,3,Robinson Obuya,out,0,1,1,0,0,0.00,T20I # 2682
Uganda vs New Zealand,Uganda,4,Alpesh Ramjani,out,0,6,15,0,0,0.00,T20I # 2682
Uganda vs New Zealand,Uganda,5,Kenneth Waiswa,out,11,18,22,2,0,61.11,T20I # 2682
Uganda vs New Zealand,Uganda,6,Riazat Ali Shah,out,2,13,21,0,0,15.38,T20I # 2682
Uganda vs New Zealand,Uganda,7,Dinesh Nakrani,out,4,13,24,0,0,30.76,T20I # 2682
Uganda vs New Zealand,Uganda,8,Brian Masaba,not out,3,20,33,0,0,15.00,T20I # 2682
Uganda vs New Zealand,Uganda,9,Fred Achelam,out,9,13,16,1,0,69.23,T20I # 2682
Uganda vs New Zealand,Uganda,10,Juma Miyagi,out,0,1,2,0,0,0.00,T20I # 2682
Uganda vs New Zealand,New Zealand,1,Finn Allen,out,9,17,24,1,0,52.94,T20I # 2682
Uganda vs New Zealand,New Zealand,2,Devon Conway,not out,22,15,31,4,0,146.66,T20I # 2682
Uganda vs New Zealand,New Zealand,3,Rachin Ravindra,not out,1,1,6,0,0,100.00,T20I # 2682
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Oman vs England,Oman,1,Pratik Athavale,out,5,3,6,1,0,166.66,T20I # 2678
Oman vs England,Oman,2,Kashyap Prajapati,out,9,16,28,0,1,56.25,T20I # 2678
Oman vs England,Oman,3,Aqib Ilyas,out,8,10,9,1,0,80.00,T20I # 2678
Oman vs England,Oman,4,Zeeshan Maqsood,out,1,5,7,0,0,20.00,T20I # 2678
Oman vs England,Oman,5,Khalid Kail,out,1,3,6,0,0,33.33,T20I # 2678
Oman vs England,Oman,6,Ayaan Khan,out,1,5,11,0,0,20.00,T20I # 2678
Oman vs England,Oman,7,Shoaib Khan,out,11,23,31,1,0,47.82,T20I # 2678
Oman vs England,Oman,8,Mehran Khan,out,0,2,2,0,0,0.00,T20I # 2678
Oman vs England,Oman,9,Fayyaz Butt,out,2,7,7,0,0,28.57,T20I # 2678
Oman vs England,Oman,10,Kaleemullah,out,5,5,8,1,0,100.00,T20I # 2678
Oman vs England,England,1,Phil Salt,out,12,3,2,0,2,400.00,T20I # 2678
Oman vs England,England,2,Jos Buttler,not out,24,8,17,4,1,300.00,T20I # 2678
Oman vs England,England,3,Will Jacks,out,5,7,7,1,0,71.42,T20I # 2678
Oman vs England,England,4,Jonny Bairstow,not out,8,2,6,2,0,400.00,T20I # 2678
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
West Indies vs New Zealand,West Indies,1,Brandon King,out,9,12,36,0,1,75.00,T20I # 2672
West Indies vs New Zealand,West Indies,2,Johnson Charles,out,0,5,3,0,0,0.00,T20I # 2672
West Indies vs New Zealand,West Indies,3,Nicholas Pooran,out,17,12,12,3,0,141.66,T20I # 2672
West Indies vs New Zealand,West Indies,4,Roston Chase,out,0,3,3,0,0,0.00,T20I # 2672
West Indies vs New Zealand,West Indies,5,Rovman Powell,out,1,5,5,0,0,20.00,T20I # 2672
West Indies vs New Zealand,West Indies,6,Sherfane Rutherford,not out,68,39,72,2,6,174.35,T20I # 2672
West Indies vs New Zealand,West Indies,7,Akeal Hosein,out,15,17,17,0,1,88.23,T20I # 2672
West Indies vs New Zealand,West Indies,8,Andre Russell,out,14,7,8,2,1,200.00,T20I # 2672
West Indies vs New Zealand,West Indies,9,Romario Shepherd,out,13,13,19,0,1,100.00,T20I # 2672
West Indies vs New Zealand,West Indies,10,Alzarri Joseph,out,6,6,6,1,0,100.00,T20I # 2672
West Indies vs New Zealand,New Zealand,1,Devon Conway,out,5,8,13,0,0,62.50,T20I # 2672
West Indies vs New Zealand,New Zealand,2,Finn Allen,out,26,23,25,3,1,113.04,T20I # 2672
West Indies vs New Zealand,New Zealand,3,Rachin Ravindra,out,10,13,27,0,0,76.92,T20I # 2672
West Indies vs New Zealand,New Zealand,4,Kane Williamson,out,1,2,4,0,0,50.00,T20I # 2672
West Indies vs New Zealand,New Zealand,5,Daryl Mitchell,out,12,13,18,1,0,92.30,T20I # 2672
West Indies vs New Zealand,New Zealand,6,Glenn Phillips,out,40,33,40,3,2,121.21,T20I # 2672
West Indies vs New Zealand,New Zealand,7,James Neesham,out,10,11,18,0,1,90.90,T20I # 2672
West Indies vs New Zealand,New Zealand,8,Mitchell Santner,not out,21,12,24,0,3,175.00,T20I # 2672
West Indies vs New Zealand,New Zealand,9,Tim Southee,out,0,1,1,0,0,0.00,T20I # 2672
West Indies vs New Zealand,New Zealand,10,Trent Boult,out,7,4,5,0,1,175.00,T20I # 2672
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
P.N.G. vs Afghanistan,Papua New Guinea,1,Tony Ura,out,11,18,31,1,0,61.11,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,2,Assad Vala,out,3,2,9,0,0,150.00,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,3,Lega Siaka,out,0,1,1,0,0,0.00,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,4,Sese Bau,out,0,1,1,0,0,0.00,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,5,Hiri Hiri,out,1,3,4,0,0,33.33,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,6,Chad Soper,out,9,26,27,0,0,34.61,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,7,Kiplin Doriga,out,27,32,46,2,0,84.37,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,8,Norman Vanua,out,0,7,10,0,0,0.00,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,9,Alei Nao,out,13,19,25,2,0,68.42,T20I # 2679
P.N.G. vs Afghanistan,Papua New Guinea,10,John Kariko,not out,4,7,10,1,0,57.14,T20I # 2679
P.N.G. vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,out,11,7,15,1,1,157.14,T20I # 2679
P.N.G. vs Afghanistan,Afghanistan,2,Ibrahim Zadran,out,0,7,9,0,0,0.00,T20I # 2679
P.N.G. vs Afghanistan,Afghanistan,3,Gulbadin Naib,not out,49,36,60,4,2,136.11,T20I # 2679
P.N.G. vs Afghanistan,Afghanistan,4,Azmatullah Omarzai,out,13,18,26,1,0,72.22,T20I # 2679
P.N.G. vs Afghanistan,Afghanistan,5,Mohammad Nabi,not out,16,23,27,1,0,69.56,T20I # 2679
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Bangladesh vs Netherlands,Bangladesh,1,Tanzid Hasan,out,35,26,45,5,1,134.61,T20I # 2677
Bangladesh vs Netherlands,Bangladesh,2,Najmul Hossain Shanto,out,1,3,6,0,0,33.33,T20I # 2677
Bangladesh vs Netherlands,Bangladesh,3,Litton Das,out,1,2,12,0,0,50.00,T20I # 2677
Bangladesh vs Netherlands,Bangladesh,4,Shakib Al Hasan,not out,64,46,74,9,0,139.13,T20I # 2677
Bangladesh vs Netherlands,Bangladesh,5,Towhid Hridoy,out,9,15,13,0,0,60.00,T20I # 2677
Bangladesh vs Netherlands,Bangladesh,6,Mahmudullah,out,25,21,22,2,2,119.04,T20I # 2677
Bangladesh vs Netherlands,Bangladesh,7,Jaker Ali,not out,14,7,11,3,0,200.00,T20I # 2677
Bangladesh vs Netherlands,Netherlands,1,Michael Levitt,out,18,16,17,2,1,112.50,T20I # 2677
Bangladesh vs Netherlands,Netherlands,2,Max O'Dowd,out,12,16,23,3,0,75.00,T20I # 2677
Bangladesh vs Netherlands,Netherlands,3,Vikramjit Singh,out,26,16,22,0,3,162.50,T20I # 2677
Bangladesh vs Netherlands,Netherlands,4,Sybrand Engelbrecht,out,33,22,36,3,1,150.00,T20I # 2677
Bangladesh vs Netherlands,Netherlands,5,Scott Edwards,out,25,23,28,3,0,108.69,T20I # 2677
Bangladesh vs Netherlands,Netherlands,6,Bas de Leede,out,0,2,1,0,0,0.00,T20I # 2677
Bangladesh vs Netherlands,Netherlands,7,Logan van Beek,out,2,3,10,0,0,66.66,T20I # 2677
Bangladesh vs Netherlands,Netherlands,8,Tim Pringle,out,1,10,16,0,0,10.00,T20I # 2677
Bangladesh vs Netherlands,Netherlands,9,Aryan Dutt,not out,15,12,11,1,1,125.00,T20I # 2677
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
South Africa vs Nepal,South Africa,1,Reeza Hendricks,out,43,49,64,5,1,87.75,T20I # 2681
South Africa vs Nepal,South Africa,2,Quinton de Kock,out,10,11,14,1,0,90.90,T20I # 2681
South Africa vs Nepal,South Africa,3,Aiden Markram,out,15,22,27,2,0,68.18,T20I # 2681
South Africa vs Nepal,South Africa,4,Heinrich Klaasen,out,3,5,6,0,0,60.00,T20I # 2681
South Africa vs Nepal,South Africa,5,David Miller,out,7,10,18,0,0,70.00,T20I # 2681
South Africa vs Nepal,South Africa,6,Tristan Stubbs,not out,27,18,18,2,1,150.00,T20I # 2681
South Africa vs Nepal,South Africa,7,Marco Jansen,out,1,4,9,0,0,25.00,T20I # 2681
South Africa vs Nepal,South Africa,8,Kagiso Rabada,out,0,1,1,0,0,0.00,T20I # 2681
South Africa vs Nepal,Nepal,1,Kushal Bhurtel,out,13,21,31,1,1,61.90,T20I # 2681
South Africa vs Nepal,Nepal,2,Aasif Sheikh,out,42,49,77,4,1,85.71,T20I # 2681
South Africa vs Nepal,Nepal,3,Rohit Paudel,out,0,2,1,0,0,0.00,T20I # 2681
South Africa vs Nepal,Nepal,4,Anil Sah,out,27,24,25,3,1,112.50,T20I # 2681
South Africa vs Nepal,Nepal,5,Dipendra Singh Airee,out,6,11,15,0,0,54.54,T20I # 2681
South Africa vs Nepal,Nepal,6,Kushal Malla,out,1,3,4,0,0,33.33,T20I # 2681
South Africa vs Nepal,Nepal,7,Gulsan Jha,out,6,6,13,1,0,100.00,T20I # 2681
South Africa vs Nepal,Nepal,8,Sompal Kami,not out,8,4,9,0,1,200.00,T20I # 2681
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
U.S.A. vs India,United States of America,1,Shayan Jahangir,out,0,1,1,0,0,0.00,T20I # 2671
U.S.A. vs India,United States of America,2,Steven Taylor,out,24,30,57,0,2,80.00,T20I # 2671
U.S.A. vs India,United States of America,3,Andries Gous,out,2,5,4,0,0,40.00,T20I # 2671
U.S.A. vs India,United States of America,4,Aaron Jones,out,11,22,29,0,1,50.00,T20I # 2671
U.S.A. vs India,United States of America,5,Nitish Kumar,out,27,23,33,2,1,117.39,T20I # 2671
U.S.A. vs India,United States of America,6,Corey Anderson,out,15,12,25,1,1,125.00,T20I # 2671
U.S.A. vs India,United States of America,7,Harmeet Singh,out,10,10,16,0,1,100.00,T20I # 2671
U.S.A. vs India,United States of America,8,Shadley van Schalkwyk,not out,11,10,15,1,0,110.00,T20I # 2671
U.S.A. vs India,United States of America,9,Jasdeep Singh,out,2,7,11,0,0,28.57,T20I # 2671
U.S.A. vs India,India,1,Rohit Sharma,out,3,6,12,0,0,50.00,T20I # 2671
U.S.A. vs India,India,2,Virat Kohli,out,0,1,1,0,0,0.00,T20I # 2671
U.S.A. vs India,India,3,Rishabh Pant,out,18,20,38,1,1,90.00,T20I # 2671
U.S.A. vs India,India,4,Suryakumar Yadav,not out,50,49,80,2,2,102.04,T20I # 2671
U.S.A. vs India,India,5,Shivam Dube,not out,31,35,51,1,1,88.57,T20I # 2671
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Namibia vs Australia,Namibia,1,Michael van Lingen,out,10,10,20,2,0,100.00,T20I # 2666
Namibia vs Australia,Namibia,2,Nikolaas Davin,out,2,7,12,0,0,28.57,T20I # 2666
Namibia vs Australia,Namibia,3,Jan Frylinck,out,1,6,4,0,0,16.66,T20I # 2666
Namibia vs Australia,Namibia,4,Gerhard Erasmus,out,36,43,64,4,1,83.72,T20I # 2666
Namibia vs Australia,Namibia,5,JJ Smit,out,3,9,15,0,0,33.33,T20I # 2666
Namibia vs Australia,Namibia,6,Zane Green,out,1,4,6,0,0,25.00,T20I # 2666
Namibia vs Australia,Namibia,7,David Wiese,out,1,7,7,0,0,14.28,T20I # 2666
Namibia vs Australia,Namibia,8,Ruben Trumpelmann,out,7,7,8,0,1,100.00,T20I # 2666
Namibia vs Australia,Namibia,9,Bernard Scholtz,out,0,2,1,0,0,0.00,T20I # 2666
Namibia vs Australia,Namibia,10,Jack Brassell,not out,2,3,22,0,0,66.66,T20I # 2666
Namibia vs Australia,Australia,1,David Warner,out,20,8,7,3,1,250.00,T20I # 2666
Namibia vs Australia,Australia,2,Travis Head,not out,34,17,24,5,2,200.00,T20I # 2666
Namibia vs Australia,Australia,3,Mitchell Marsh,not out,18,9,16,3,1,200.00,T20I # 2666
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Canada vs Pakistan,Canada,1,Aaron Johnson,out,52,44,64,4,4,118.18,T20I # 2665
Canada vs Pakistan,Canada,2,Navneet Dhaliwal,out,4,7,13,1,0,57.14,T20I # 2665
Canada vs Pakistan,Canada,3,Pargat Singh,out,2,6,9,0,0,33.33,T20I # 2665
Canada vs Pakistan,Canada,4,Nicholas Kirton,out,1,6,10,0,0,16.66,T20I # 2665
Canada vs Pakistan,Canada,5,Shreyas Movva,out,2,9,11,0,0,22.22,T20I # 2665
Canada vs Pakistan,Canada,6,Ravinderpal Singh,out,0,2,1,0,0,0.00,T20I # 2665
Canada vs Pakistan,Canada,7,Saad Bin Zafar,out,10,21,29,1,0,47.61,T20I # 2665
Canada vs Pakistan,Canada,8,Kaleem Sana,not out,13,14,27,0,1,92.85,T20I # 2665
Canada vs Pakistan,Canada,9,Dilon Heyliger,not out,9,11,12,1,0,81.81,T20I # 2665
Canada vs Pakistan,Pakistan,1,Mohammad Rizwan,not out,53,53,83,2,1,100.00,T20I # 2665
Canada vs Pakistan,Pakistan,2,Saim Ayub,out,6,12,22,0,0,50.00,T20I # 2665
Canada vs Pakistan,Pakistan,3,Babar Azam,out,33,33,43,1,1,100.00,T20I # 2665
Canada vs Pakistan,Pakistan,4,Fakhar Zaman,out,4,6,15,0,0,66.66,T20I # 2665
Canada vs Pakistan,Pakistan,5,Usman Khan,not out,2,1,1,0,0,200.00,T20I # 2665
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
South Africa vs Bangladesh,South Africa,1,Quinton de Kock,out,18,11,13,1,2,163.63,T20I # 2664
South Africa vs Bangladesh,South Africa,2,Reeza Hendricks,out,0,1,4,0,0,0.00,T20I # 2664
South Africa vs Bangladesh,South Africa,3,Aiden Markram,out,4,8,14,1,0,50.00,T20I # 2664
South Africa vs Bangladesh,South Africa,4,Tristan Stubbs,out,0,5,9,0,0,0.00,T20I # 2664
South Africa vs Bangladesh,South Africa,5,Heinrich Klaasen,out,46,44,60,2,3,104.54,T20I # 2664
South Africa vs Bangladesh,South Africa,6,David Miller,out,29,38,62,1,1,76.31,T20I # 2664
South Africa vs Bangladesh,South Africa,7,Marco Jansen,not out,5,5,13,0,0,100.00,T20I # 2664
South Africa vs Bangladesh,South Africa,8,Keshav Maharaj,not out,4,8,7,0,0,50.00,T20I # 2664
South Africa vs Bangladesh,Bangladesh,1,Tanzid Hasan,out,9,9,8,2,0,100.00,T20I # 2664
South Africa vs Bangladesh,Bangladesh,2,Najmul Hossain Shanto,out,14,23,44,0,1,60.86,T20I # 2664
South Africa vs Bangladesh,Bangladesh,3,Litton Das,out,9,13,18,1,0,69.23,T20I # 2664
South Africa vs Bangladesh,Bangladesh,4,Shakib Al Hasan,out,3,4,6,0,0,75.00,T20I # 2664
South Africa vs Bangladesh,Bangladesh,5,Towhid Hridoy,out,37,34,46,2,2,108.82,T20I # 2664
South Africa vs Bangladesh,Bangladesh,6,Mahmudullah,out,20,27,54,2,0,74.07,T20I # 2664
South Africa vs Bangladesh,Bangladesh,7,Jaker Ali,out,8,9,11,0,0,88.88,T20I # 2664
South Africa vs Bangladesh,Bangladesh,8,Rishad Hossain,not out,0,1,5,0,0,0.00,T20I # 2664
South Africa vs Bangladesh,Bangladesh,9,Taskin Ahmed,not out,1,1,1,0,0,100.00,T20I # 2664
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Oman vs Scotland,Oman,1,Pratik Athavale,out,54,40,65,5,2,135.00,T20I # 2659
Oman vs Scotland,Oman,2,Naseem Khushi,out,10,9,11,0,1,111.11,T20I # 2659
Oman vs Scotland,Oman,3,Aqib Ilyas,out,16,6,11,2,1,266.66,T20I # 2659
Oman vs Scotland,Oman,4,Zeeshan Maqsood,out,3,4,6,0,0,75.00,T20I # 2659
Oman vs Scotland,Oman,5,Khalid Kail,out,5,7,8,0,0,71.42,T20I # 2659
Oman vs Scotland,Oman,6,Ayaan Khan,not out,41,39,44,4,0,105.12,T20I # 2659
Oman vs Scotland,Oman,7,Mehran Khan,out,13,10,10,2,0,130.00,T20I # 2659
Oman vs Scotland,Oman,8,Rafiullah,out,0,3,2,0,0,0.00,T20I # 2659
Oman vs Scotland,Oman,9,Shakeel Ahmed,not out,3,2,5,0,0,150.00,T20I # 2659
Oman vs Scotland,Scotland,1,George Munsey,out,41,20,35,2,4,205.00,T20I # 2659
Oman vs Scotland,Scotland,2,Michael Jones,out,16,13,12,1,2,123.07,T20I # 2659
Oman vs Scotland,Scotland,3,Brandon McMullen,not out,61,31,42,9,2,196.77,T20I # 2659
Oman vs Scotland,Scotland,4,Richie Berrington,out,13,7,7,1,1,185.71,T20I # 2659
Oman vs Scotland,Scotland,5,Matthew Cross,not out,15,8,12,0,2,187.50,T20I # 2659
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
India vs Pakistan,India,1,Rohit Sharma,out,13,12,15,1,1,108.33,T20I # 2658
